logtime,scenario_time,type,module,address,value
69610.861571,0,scenario_path,,,includes/scenarios/vocalexplanation.txt
69610.861793,0,seed_value,communications_vocal,,
69610.861801,0,seed_output,communications_vocal,,YJC094
69610.861853,0,seed_value,communications_vocal,,
69610.861859,0,seed_output,communications_vocal,,MYA347
69610.861897,0,seed_value,communications_vocal,,
69610.861902,0,seed_output,communications_vocal,,UPW443
69610.861934,0,seed_value,communications_vocal,,
69610.861939,0,seed_output,communications_vocal,,DXE892
69610.861972,0,seed_value,communications_vocal,,
69610.861976,0,seed_output,communications_vocal,,RZJ909
69610.862003,0,seed_value,communications_vocal,,
69610.862006,0,seed_output,communications_vocal,,APD620
69610.862036,0,seed_value,communications_vocal,,
69610.86204,0,seed_output,communications_vocal,,SFU347
69610.862071,0,seed_value,communications_vocal,,
69610.862074,0,seed_output,communications_vocal,,RKY252
69610.862101,0,seed_value,communications_vocal,,
69610.862104,0,seed_output,communications_vocal,,KBA410
69610.862118,0,seed_value,communications_vocal,,
69610.862121,0,seed_output,communications_vocal,,112.783535
69610.862132,0,seed_value,communications_vocal,,
69610.862135,0,seed_output,communications_vocal,,135.788072
69610.862145,0,seed_value,communications_vocal,,
69610.862149,0,seed_output,communications_vocal,,134.821092
69610.862159,0,seed_value,communications_vocal,,
69610.862162,0,seed_output,communications_vocal,,128.657947
69612.988239,0,dialog,,,OpenMATB end
69612.996999,0.014566,aoi,sysmon,vocal_foreground,"(691, 444.6, 1641, 0.0)"
69612.997043,0.014566,aoi,sysmon,vocal_overdue,"(691, 444.6, 1641, 0.0)"
69613.001805,0.014566,aoi,sysmon,vocal_task_title,"(691, 494.0, 1641, 444.6)"
69613.001952,0.014566,aoi,sysmon,vocal_automode,"(1094.75, 48.165000000000006, 1237.25, 23.465000000000003)"
69613.002994,0.014566,aoi,sysmon,vocal_scale1,"(762.25, 288.99, 857.25, 66.69)"
69613.003639,0.014566,aoi,sysmon,vocal_scale2,"(999.75, 288.99, 1094.75, 66.69)"
69613.004261,0.014566,aoi,sysmon,vocal_scale3,"(1237.25, 288.99, 1332.25, 66.69)"
69613.004891,0.014566,aoi,sysmon,vocal_scale4,"(1474.75, 288.99, 1569.75, 66.69)"
69613.005463,0.014566,aoi,sysmon,vocal_light1,"(738.5, 400.14000000000004, 1118.5, 333.45000000000005)"
69613.006015,0.014566,aoi,sysmon,vocal_light2,"(1213.5, 400.14000000000004, 1593.5, 333.45000000000005)"
69613.006034,0.014566,parameter,sysmon_vocal,title,System monitoring
69613.006042,0.014566,parameter,sysmon_vocal,taskplacement,bottommid
69613.006049,0.014566,parameter,sysmon_vocal,taskupdatetime,200
69613.006056,0.014566,parameter,sysmon_vocal,taskfeedback-overdue-active,0
69613.006063,0.014566,parameter,sysmon_vocal,taskfeedback-overdue-color,"(241, 100, 100, 255)"
69613.006071,0.014566,parameter,sysmon_vocal,taskfeedback-overdue-delayms,2000
69613.006077,0.014566,parameter,sysmon_vocal,taskfeedback-overdue-blinkdurationms,1000
69613.006083,0.014566,parameter,sysmon_vocal,taskfeedback-overdue-_nexttoggletime,0
69613.006089,0.014566,parameter,sysmon_vocal,taskfeedback-overdue-_is_visible,0
69613.006096,0.014566,parameter,sysmon_vocal,taskfeedback-overdue-widget,<core.widgets.frame.Frame object at 0x113bede10>
69613.006104,0.014566,parameter,sysmon_vocal,alerttimeout,10000
69613.006109,0.014566,parameter,sysmon_vocal,automaticsolver,0
69613.006114,0.014566,parameter,sysmon_vocal,automaticsolverdelay,1000
69613.00612,0.014566,parameter,sysmon_vocal,displayautomationstate,1
69613.006125,0.014566,parameter,sysmon_vocal,allowanykey,0
69613.00613,0.014566,parameter,sysmon_vocal,feedbackduration,1500
69613.006136,0.014566,parameter,sysmon_vocal,feedbacks-positive-active,1
69613.006141,0.014566,parameter,sysmon_vocal,feedbacks-positive-color,"(142, 219, 176, 255)"
69613.006149,0.014566,parameter,sysmon_vocal,feedbacks-negative-active,1
69613.006154,0.014566,parameter,sysmon_vocal,feedbacks-negative-color,"(241, 100, 100, 255)"
69613.00616,0.014566,parameter,sysmon_vocal,lights-1-name,F5
69613.006166,0.014566,parameter,sysmon_vocal,lights-1-failure,0
69613.006171,0.014566,parameter,sysmon_vocal,lights-1-default,on
69613.006176,0.014566,parameter,sysmon_vocal,lights-1-oncolor,"(142, 219, 176, 255)"
69613.006181,0.014566,parameter,sysmon_vocal,lights-1-key,F5
69613.006186,0.014566,parameter,sysmon_vocal,lights-1-on,1
69613.006192,0.014566,parameter,sysmon_vocal,lights-1-_failuretimer,
69613.006197,0.014566,parameter,sysmon_vocal,lights-1-_onfailure,0
69613.006202,0.014566,parameter,sysmon_vocal,lights-1-_milliresponsetime,0
69613.006207,0.014566,parameter,sysmon_vocal,lights-1-_freezetimer,
69613.006213,0.014566,parameter,sysmon_vocal,lights-1-widget,<core.widgets.light.Light object at 0x144c1b5d0>
69613.006224,0.014566,parameter,sysmon_vocal,lights-2-name,F6
69613.00623,0.014566,parameter,sysmon_vocal,lights-2-failure,0
69613.006235,0.014566,parameter,sysmon_vocal,lights-2-default,off
69613.00624,0.014566,parameter,sysmon_vocal,lights-2-oncolor,"(241, 100, 100, 255)"
69613.006246,0.014566,parameter,sysmon_vocal,lights-2-key,F6
69613.006251,0.014566,parameter,sysmon_vocal,lights-2-on,0
69613.006256,0.014566,parameter,sysmon_vocal,lights-2-_failuretimer,
69613.006262,0.014566,parameter,sysmon_vocal,lights-2-_onfailure,0
69613.006267,0.014566,parameter,sysmon_vocal,lights-2-_milliresponsetime,0
69613.006279,0.014566,parameter,sysmon_vocal,lights-2-_freezetimer,
69613.006284,0.014566,parameter,sysmon_vocal,lights-2-widget,<core.widgets.light.Light object at 0x144c295d0>
69613.006291,0.014566,parameter,sysmon_vocal,scales-1-name,F1
69613.006296,0.014566,parameter,sysmon_vocal,scales-1-failure,0
69613.006301,0.014566,parameter,sysmon_vocal,scales-1-side,0
69613.006306,0.014566,parameter,sysmon_vocal,scales-1-key,F1
69613.006311,0.014566,parameter,sysmon_vocal,scales-1-_failuretimer,
69613.006316,0.014566,parameter,sysmon_vocal,scales-1-_onfailure,0
69613.006321,0.014566,parameter,sysmon_vocal,scales-1-_milliresponsetime,0
69613.006326,0.014566,parameter,sysmon_vocal,scales-1-_freezetimer,
69613.006331,0.014566,parameter,sysmon_vocal,scales-1-_pos,5
69613.006336,0.014566,parameter,sysmon_vocal,scales-1-_zone,0
69613.006341,0.014566,parameter,sysmon_vocal,scales-1-_feedbacktimer,
69613.006346,0.014566,parameter,sysmon_vocal,scales-1-_feedbacktype,
69613.006352,0.014566,parameter,sysmon_vocal,scales-1-widget,<core.widgets.scale.Scale object at 0x144c090d0>
69613.006358,0.014566,parameter,sysmon_vocal,scales-2-name,F2
69613.006363,0.014566,parameter,sysmon_vocal,scales-2-failure,0
69613.006368,0.014566,parameter,sysmon_vocal,scales-2-side,0
69613.006373,0.014566,parameter,sysmon_vocal,scales-2-key,F2
69613.006378,0.014566,parameter,sysmon_vocal,scales-2-_failuretimer,
69613.006383,0.014566,parameter,sysmon_vocal,scales-2-_onfailure,0
69613.006388,0.014566,parameter,sysmon_vocal,scales-2-_milliresponsetime,0
69613.006393,0.014566,parameter,sysmon_vocal,scales-2-_freezetimer,
69613.006397,0.014566,parameter,sysmon_vocal,scales-2-_pos,5
69613.006403,0.014566,parameter,sysmon_vocal,scales-2-_zone,0
69613.006408,0.014566,parameter,sysmon_vocal,scales-2-_feedbacktimer,
69613.006413,0.014566,parameter,sysmon_vocal,scales-2-_feedbacktype,
69613.006418,0.014566,parameter,sysmon_vocal,scales-2-widget,<core.widgets.scale.Scale object at 0x144c09190>
69613.006424,0.014566,parameter,sysmon_vocal,scales-3-name,F3
69613.006429,0.014566,parameter,sysmon_vocal,scales-3-failure,0
69613.006435,0.014566,parameter,sysmon_vocal,scales-3-side,0
69613.00644,0.014566,parameter,sysmon_vocal,scales-3-key,F3
69613.006445,0.014566,parameter,sysmon_vocal,scales-3-_failuretimer,
69613.00645,0.014566,parameter,sysmon_vocal,scales-3-_onfailure,0
69613.006455,0.014566,parameter,sysmon_vocal,scales-3-_milliresponsetime,0
69613.00646,0.014566,parameter,sysmon_vocal,scales-3-_freezetimer,
69613.006465,0.014566,parameter,sysmon_vocal,scales-3-_pos,5
69613.00647,0.014566,parameter,sysmon_vocal,scales-3-_zone,0
69613.006475,0.014566,parameter,sysmon_vocal,scales-3-_feedbacktimer,
69613.00648,0.014566,parameter,sysmon_vocal,scales-3-_feedbacktype,
69613.006723,0.014566,parameter,sysmon_vocal,scales-3-widget,<core.widgets.scale.Scale object at 0x144c0b950>
69613.006732,0.014566,parameter,sysmon_vocal,scales-4-name,F4
69613.006737,0.014566,parameter,sysmon_vocal,scales-4-failure,0
69613.006743,0.014566,parameter,sysmon_vocal,scales-4-side,0
69613.006748,0.014566,parameter,sysmon_vocal,scales-4-key,F4
69613.006753,0.014566,parameter,sysmon_vocal,scales-4-_failuretimer,
69613.006758,0.014566,parameter,sysmon_vocal,scales-4-_onfailure,0
69613.006763,0.014566,parameter,sysmon_vocal,scales-4-_milliresponsetime,0
69613.006768,0.014566,parameter,sysmon_vocal,scales-4-_freezetimer,
69613.006773,0.014566,parameter,sysmon_vocal,scales-4-_pos,5
69613.006778,0.014566,parameter,sysmon_vocal,scales-4-_zone,0
69613.006783,0.014566,parameter,sysmon_vocal,scales-4-_feedbacktimer,
69613.006788,0.014566,parameter,sysmon_vocal,scales-4-_feedbacktype,
69613.006793,0.014566,parameter,sysmon_vocal,scales-4-widget,<core.widgets.scale.Scale object at 0x144c19790>
69613.008964,0.014566,state,sysmon,"vocal_foreground, visibility",1
69613.009032,0.014566,state,sysmon,"vocal_overdue, visibility",1
69613.010243,0.014566,event,sysmon_vocal,self,start
69614.482046,0.014566,dialog,,,Warning end
69614.482285,0.02623,seed_value,sysmon_vocal,,
69614.482302,0.02623,seed_output,sysmon_vocal,,1
69614.482337,0.02623,seed_value,sysmon_vocal,,
69614.482348,0.02623,seed_output,sysmon_vocal,,-1
69614.482377,0.02623,seed_value,sysmon_vocal,,
69614.482385,0.02623,seed_output,sysmon_vocal,,-1
69614.482422,0.02623,seed_value,sysmon_vocal,,
69614.48243,0.02623,seed_output,sysmon_vocal,,1
69614.482473,0.02623,state,sysmon,"vocal_foreground, visibility",0
69614.484481,0.02623,state,sysmon,"vocal_overdue, visibility",0
69614.484535,0.02623,state,sysmon,"vocal_scale1, arrow",6
69614.484558,0.02623,state,sysmon,"vocal_scale2, arrow",4
69614.484577,0.02623,state,sysmon,"vocal_scale3, arrow",4
69614.484597,0.02623,state,sysmon,"vocal_scale4, arrow",6
69614.484903,0.02623,aoi,resman,vocal_foreground,"(87, 938.6, 1469, 494.0)"
69614.484941,0.02623,aoi,resman,vocal_overdue,"(87, 938.6, 1469, 494.0)"
69614.487035,0.02623,aoi,resman,vocal_task_title,"(87, 988.0, 1469, 938.6)"
69614.487193,0.02623,aoi,resman,vocal_automode,"(650.856, 776.815, 858.156, 752.115)"
69614.487363,0.02623,aoi,resman,vocal_status_foreground,"(1382, 938.6, 1641, 494.0)"
69614.49505,0.02623,aoi,resman,vocal_status_title,"(1382, 988.0, 1641, 938.6)"
69614.496378,0.02623,aoi,resman,vocal_pump_1_flow,"(1382, 938.6, 1641, 889.2)"
69614.497111,0.02623,aoi,resman,vocal_pump_2_flow,"(1382, 889.1999999999999, 1641, 839.8)"
69614.497968,0.02623,aoi,resman,vocal_pump_3_flow,"(1382, 839.8000000000001, 1641, 790.4000000000001)"
69614.498678,0.02623,aoi,resman,vocal_pump_4_flow,"(1382, 790.4, 1641, 741.0)"
69614.499451,0.02623,aoi,resman,vocal_pump_5_flow,"(1382, 741.0, 1641, 691.6)"
69614.500303,0.02623,aoi,resman,vocal_pump_6_flow,"(1382, 691.6, 1641, 642.2)"
69614.502077,0.02623,aoi,resman,vocal_pump_7_flow,"(1382, 642.1999999999999, 1641, 592.8)"
69614.502905,0.02623,aoi,resman,vocal_pump_8_flow,"(1382, 592.8, 1641, 543.4)"
69614.503739,0.02623,aoi,resman,vocal_tank_a,"(280.48, 894.14, 487.78, 738.53)"
69614.504642,0.02623,aoi,resman,vocal_tank_b,"(971.48, 894.14, 1178.78, 738.53)"
69614.505462,0.02623,aoi,resman,vocal_tank_c,"(156.10000000000002, 716.3000000000001, 294.30000000000007, 560.69)"
69614.506306,0.02623,aoi,resman,vocal_tank_d,"(847.1, 716.3000000000001, 985.3000000000001, 560.69)"
69614.506832,0.02623,aoi,resman,vocal_tank_e,"(501.59999999999997, 716.3000000000001, 667.4399999999999, 560.69)"
69614.50729,0.02623,aoi,resman,vocal_tank_f,"(1192.6000000000001, 716.3000000000001, 1358.44, 560.69)"
69614.509854,0.02623,parameter,resman_vocal,title,Resources management
69614.509864,0.02623,parameter,resman_vocal,taskplacement,topleft
69614.50987,0.02623,parameter,resman_vocal,taskupdatetime,2000
69614.509877,0.02623,parameter,resman_vocal,taskfeedback-overdue-active,0
69614.509883,0.02623,parameter,resman_vocal,taskfeedback-overdue-color,"(241, 100, 100, 255)"
69614.50989,0.02623,parameter,resman_vocal,taskfeedback-overdue-delayms,2000
69614.509895,0.02623,parameter,resman_vocal,taskfeedback-overdue-blinkdurationms,1000
69614.509901,0.02623,parameter,resman_vocal,taskfeedback-overdue-_nexttoggletime,0
69614.509907,0.02623,parameter,resman_vocal,taskfeedback-overdue-_is_visible,0
69614.509912,0.02623,parameter,resman_vocal,taskfeedback-overdue-widget,<core.widgets.frame.Frame object at 0x113beda50>
69614.50992,0.02623,parameter,resman_vocal,automaticsolver,0
69614.509925,0.02623,parameter,resman_vocal,displayautomationstate,1
69614.509931,0.02623,parameter,resman_vocal,pumpcoloroff,"(255, 255, 255, 255)"
69614.509937,0.02623,parameter,resman_vocal,pumpcoloron,"(142, 219, 176, 255)"
69614.509942,0.02623,parameter,resman_vocal,pumpcolorfailure,"(241, 100, 100, 255)"
69614.509948,0.02623,parameter,resman_vocal,toleranceradius,250
69614.509953,0.02623,parameter,resman_vocal,statuslocation,topmid
69614.509958,0.02623,parameter,resman_vocal,displaystatus,1
69614.509963,0.02623,parameter,resman_vocal,tolerancecolor,"(50, 50, 50, 255)"
69614.509969,0.02623,parameter,resman_vocal,tolerancecoloroutside,"(50, 50, 50, 255)"
69614.509975,0.02623,parameter,resman_vocal,tank-a-level,2500
69614.509981,0.02623,parameter,resman_vocal,tank-a-max,4000
69614.509986,0.02623,parameter,resman_vocal,tank-a-target,2500
69614.509991,0.02623,parameter,resman_vocal,tank-a-depletable,1
69614.509996,0.02623,parameter,resman_vocal,tank-a-lossperminute,800
69614.510001,0.02623,parameter,resman_vocal,tank-a-_infoside,left
69614.510006,0.02623,parameter,resman_vocal,tank-a-_response_time,0
69614.510011,0.02623,parameter,resman_vocal,tank-a-_is_in_tolerance,
69614.510016,0.02623,parameter,resman_vocal,tank-a-_tolerance_color,"(50, 50, 50, 255)"
69614.510023,0.02623,parameter,resman_vocal,tank-a-widget,<core.widgets.tank.Tank object at 0x144c83010>
69614.51003,0.02623,parameter,resman_vocal,tank-b-level,2500
69614.510035,0.02623,parameter,resman_vocal,tank-b-max,4000
69614.51004,0.02623,parameter,resman_vocal,tank-b-target,2500
69614.510046,0.02623,parameter,resman_vocal,tank-b-depletable,1
69614.510051,0.02623,parameter,resman_vocal,tank-b-lossperminute,800
69614.510056,0.02623,parameter,resman_vocal,tank-b-_infoside,right
69614.510061,0.02623,parameter,resman_vocal,tank-b-_response_time,0
69614.510066,0.02623,parameter,resman_vocal,tank-b-_is_in_tolerance,
69614.510071,0.02623,parameter,resman_vocal,tank-b-_tolerance_color,"(50, 50, 50, 255)"
69614.510077,0.02623,parameter,resman_vocal,tank-b-widget,<core.widgets.tank.Tank object at 0x144c83350>
69614.510083,0.02623,parameter,resman_vocal,tank-c-level,1000
69614.510088,0.02623,parameter,resman_vocal,tank-c-max,2000
69614.510094,0.02623,parameter,resman_vocal,tank-c-target,
69614.510098,0.02623,parameter,resman_vocal,tank-c-depletable,1
69614.510103,0.02623,parameter,resman_vocal,tank-c-lossperminute,0
69614.510109,0.02623,parameter,resman_vocal,tank-c-_infoside,left
69614.510114,0.02623,parameter,resman_vocal,tank-c-widget,<core.widgets.tank.Tank object at 0x144c9d990>
69614.51012,0.02623,parameter,resman_vocal,tank-d-level,1000
69614.510125,0.02623,parameter,resman_vocal,tank-d-max,2000
69614.51013,0.02623,parameter,resman_vocal,tank-d-target,
69614.510135,0.02623,parameter,resman_vocal,tank-d-depletable,1
69614.51014,0.02623,parameter,resman_vocal,tank-d-lossperminute,0
69614.510145,0.02623,parameter,resman_vocal,tank-d-_infoside,left
69614.51015,0.02623,parameter,resman_vocal,tank-d-widget,<core.widgets.tank.Tank object at 0x144ca9290>
69614.510156,0.02623,parameter,resman_vocal,tank-e-level,3000
69614.510161,0.02623,parameter,resman_vocal,tank-e-max,4000
69614.510166,0.02623,parameter,resman_vocal,tank-e-target,
69614.510171,0.02623,parameter,resman_vocal,tank-e-depletable,0
69614.510176,0.02623,parameter,resman_vocal,tank-e-lossperminute,0
69614.510181,0.02623,parameter,resman_vocal,tank-e-_infoside,right
69614.510256,0.02623,parameter,resman_vocal,tank-e-widget,<core.widgets.tank.Tank object at 0x144c82d50>
69614.510264,0.02623,parameter,resman_vocal,tank-f-level,3000
69614.51027,0.02623,parameter,resman_vocal,tank-f-max,4000
69614.510275,0.02623,parameter,resman_vocal,tank-f-target,
69614.51028,0.02623,parameter,resman_vocal,tank-f-depletable,0
69614.510286,0.02623,parameter,resman_vocal,tank-f-lossperminute,0
69614.510291,0.02623,parameter,resman_vocal,tank-f-_infoside,right
69614.510296,0.02623,parameter,resman_vocal,tank-f-widget,<core.widgets.tank.Tank object at 0x144cb3010>
69614.510303,0.02623,parameter,resman_vocal,pump-1-flow,800
69614.510308,0.02623,parameter,resman_vocal,pump-1-state,off
69614.510313,0.02623,parameter,resman_vocal,pump-1-key,NUM_1
69614.510318,0.02623,parameter,resman_vocal,pump-1-_fromtank,c
69614.510323,0.02623,parameter,resman_vocal,pump-1-_totank,a
69614.510329,0.02623,parameter,resman_vocal,pump-1-statuswidget,<core.widgets.pumpflow.PumpFlow object at 0x113b6ce90>
69614.510335,0.02623,parameter,resman_vocal,pump-1-widget,<core.widgets.pump.Pump object at 0x144c83b50>
69614.510341,0.02623,parameter,resman_vocal,pump-2-flow,600
69614.510346,0.02623,parameter,resman_vocal,pump-2-state,off
69614.510351,0.02623,parameter,resman_vocal,pump-2-key,NUM_2
69614.510356,0.02623,parameter,resman_vocal,pump-2-_fromtank,e
69614.510361,0.02623,parameter,resman_vocal,pump-2-_totank,a
69614.510366,0.02623,parameter,resman_vocal,pump-2-statuswidget,<core.widgets.pumpflow.PumpFlow object at 0x144c5a3d0>
69614.510372,0.02623,parameter,resman_vocal,pump-2-widget,<core.widgets.pump.Pump object at 0x144ccb390>
69614.510379,0.02623,parameter,resman_vocal,pump-3-flow,800
69614.510384,0.02623,parameter,resman_vocal,pump-3-state,off
69614.510389,0.02623,parameter,resman_vocal,pump-3-key,NUM_3
69614.510394,0.02623,parameter,resman_vocal,pump-3-_fromtank,d
69614.510399,0.02623,parameter,resman_vocal,pump-3-_totank,b
69614.510404,0.02623,parameter,resman_vocal,pump-3-statuswidget,<core.widgets.pumpflow.PumpFlow object at 0x144c69ed0>
69614.51041,0.02623,parameter,resman_vocal,pump-3-widget,<core.widgets.pump.Pump object at 0x144cd5490>
69614.510416,0.02623,parameter,resman_vocal,pump-4-flow,600
69614.510421,0.02623,parameter,resman_vocal,pump-4-state,off
69614.510426,0.02623,parameter,resman_vocal,pump-4-key,NUM_4
69614.510431,0.02623,parameter,resman_vocal,pump-4-_fromtank,f
69614.510436,0.02623,parameter,resman_vocal,pump-4-_totank,b
69614.510441,0.02623,parameter,resman_vocal,pump-4-statuswidget,<core.widgets.pumpflow.PumpFlow object at 0x144c6bed0>
69614.510447,0.02623,parameter,resman_vocal,pump-4-widget,<core.widgets.pump.Pump object at 0x144cd72d0>
69614.510453,0.02623,parameter,resman_vocal,pump-5-flow,600
69614.510458,0.02623,parameter,resman_vocal,pump-5-state,off
69614.510463,0.02623,parameter,resman_vocal,pump-5-key,NUM_5
69614.510468,0.02623,parameter,resman_vocal,pump-5-_fromtank,e
69614.510473,0.02623,parameter,resman_vocal,pump-5-_totank,c
69614.510478,0.02623,parameter,resman_vocal,pump-5-statuswidget,<core.widgets.pumpflow.PumpFlow object at 0x144c78bd0>
69614.510484,0.02623,parameter,resman_vocal,pump-5-widget,<core.widgets.pump.Pump object at 0x144cdd150>
69614.51049,0.02623,parameter,resman_vocal,pump-6-flow,600
69614.510495,0.02623,parameter,resman_vocal,pump-6-state,off
69614.510499,0.02623,parameter,resman_vocal,pump-6-key,NUM_6
69614.510504,0.02623,parameter,resman_vocal,pump-6-_fromtank,f
69614.510509,0.02623,parameter,resman_vocal,pump-6-_totank,d
69614.510514,0.02623,parameter,resman_vocal,pump-6-statuswidget,<core.widgets.pumpflow.PumpFlow object at 0x144c7add0>
69614.51052,0.02623,parameter,resman_vocal,pump-6-widget,<core.widgets.pump.Pump object at 0x144cdee90>
69614.510526,0.02623,parameter,resman_vocal,pump-7-flow,400
69614.510531,0.02623,parameter,resman_vocal,pump-7-state,off
69614.510536,0.02623,parameter,resman_vocal,pump-7-key,NUM_7
69614.51054,0.02623,parameter,resman_vocal,pump-7-_fromtank,a
69614.510545,0.02623,parameter,resman_vocal,pump-7-_totank,b
69614.51055,0.02623,parameter,resman_vocal,pump-7-statuswidget,<core.widgets.pumpflow.PumpFlow object at 0x144c80f90>
69614.510556,0.02623,parameter,resman_vocal,pump-7-widget,<core.widgets.pump.Pump object at 0x144cf0c10>
69614.510562,0.02623,parameter,resman_vocal,pump-8-flow,400
69614.510567,0.02623,parameter,resman_vocal,pump-8-state,off
69614.510572,0.02623,parameter,resman_vocal,pump-8-key,NUM_8
69614.510576,0.02623,parameter,resman_vocal,pump-8-_fromtank,b
69614.510581,0.02623,parameter,resman_vocal,pump-8-_totank,a
69614.510586,0.02623,parameter,resman_vocal,pump-8-statuswidget,<core.widgets.pumpflow.PumpFlow object at 0x144c81750>
69614.510592,0.02623,parameter,resman_vocal,pump-8-widget,<core.widgets.pump.Pump object at 0x144cf2950>
69614.510685,0.02623,state,resman,"vocal_foreground, visibility",1
69614.510734,0.02623,state,resman,"vocal_overdue, visibility",1
69614.510844,0.02623,state,resman,"vocal_status_foreground, visibility",1
69614.514856,0.02623,state,resman,"vocal_status_foreground, visibility",0
69614.514869,0.02623,event,resman_vocal,self,start
69614.518634,0.062582,performance,resman_vocal,a_in_tolerance,1
69614.518645,0.062582,performance,resman_vocal,a_deviation,0
69614.518653,0.062582,performance,resman_vocal,b_in_tolerance,1
69614.518658,0.062582,performance,resman_vocal,b_deviation,0
69614.518674,0.062582,state,resman,"vocal_foreground, visibility",0
69614.518842,0.062582,state,resman,"vocal_overdue, visibility",0
69614.519094,0.062582,aoi,communications,vocal_foreground,"(0, 444.6, 691, 0.0)"
69614.519114,0.062582,aoi,communications,vocal_overdue,"(0, 444.6, 691, 0.0)"
69614.519832,0.062582,aoi,communications,vocal_task_title,"(0, 494.0, 691, 444.6)"
69614.51991,0.062582,aoi,communications,vocal_automode,"(293.675, 118.56000000000002, 397.325, 93.86000000000001)"
69614.521647,0.062582,aoi,communications,vocal_callsign,"(0, 444.6, 691, 0.0)"
69614.521682,0.062582,seed_value,communications_vocal,,
69614.521688,0.062582,seed_output,communications_vocal,,1
69614.522612,0.062582,aoi,communications,vocal_radio_NAV_1,"(0, 355.67999999999995, 691, 311.21999999999997)"
69614.523219,0.062582,state,communications,"vocal_radio_NAV_2, selected",1
69614.523228,0.062582,aoi,communications,vocal_radio_NAV_2,"(0, 297.882, 691, 253.422)"
69614.52385,0.062582,aoi,communications,vocal_radio_COM_1,"(0, 240.084, 691, 195.624)"
69614.524331,0.062582,aoi,communications,vocal_radio_COM_2,"(0, 182.286, 691, 137.826)"
69614.524342,0.062582,parameter,communications_vocal,title,Communications
69614.524347,0.062582,parameter,communications_vocal,taskplacement,bottomleft
69614.524352,0.062582,parameter,communications_vocal,taskupdatetime,80
69614.524358,0.062582,parameter,communications_vocal,taskfeedback-overdue-active,0
69614.524363,0.062582,parameter,communications_vocal,taskfeedback-overdue-color,"(241, 100, 100, 255)"
69614.524369,0.062582,parameter,communications_vocal,taskfeedback-overdue-delayms,2000
69614.524374,0.062582,parameter,communications_vocal,taskfeedback-overdue-blinkdurationms,1000
69614.524379,0.062582,parameter,communications_vocal,taskfeedback-overdue-_nexttoggletime,0
69614.524384,0.062582,parameter,communications_vocal,taskfeedback-overdue-_is_visible,0
69614.524388,0.062582,parameter,communications_vocal,taskfeedback-overdue-widget,<core.widgets.frame.Frame object at 0x113bf4050>
69614.524395,0.062582,parameter,communications_vocal,callsignregex,[A-Z][A-Z][A-Z]\d\d\d
69614.524399,0.062582,parameter,communications_vocal,owncallsign,YJC094
69614.524404,0.062582,parameter,communications_vocal,othercallsign,"['MYA347', 'DXE892', 'APD620', 'SFU347', 'KBA410']"
69614.52441,0.062582,parameter,communications_vocal,othercallsignnumber,5
69614.524414,0.062582,parameter,communications_vocal,airbandminMhz,108.0
69614.524419,0.062582,parameter,communications_vocal,airbandmaxMhz,137.0
69614.524424,0.062582,parameter,communications_vocal,airbandminvariationMhz,5
69614.524428,0.062582,parameter,communications_vocal,airbandmaxvariationMhz,6
69614.524461,0.062582,parameter,communications_vocal,voicegender,male
69614.524467,0.062582,parameter,communications_vocal,voiceidiom,english
69614.524471,0.062582,parameter,communications_vocal,radioprompt,
69614.524476,0.062582,parameter,communications_vocal,maxresponsedelay,20000
69614.52448,0.062582,parameter,communications_vocal,promptlist,"['NAV_1', 'NAV_2', 'COM_1', 'COM_2']"
69614.524486,0.062582,parameter,communications_vocal,automaticsolver,0
69614.52449,0.062582,parameter,communications_vocal,displayautomationstate,1
69614.524495,0.062582,parameter,communications_vocal,feedbackduration,1500
69614.5245,0.062582,parameter,communications_vocal,feedbacks-positive-active,0
69614.524504,0.062582,parameter,communications_vocal,feedbacks-positive-color,"(142, 219, 176, 255)"
69614.52451,0.062582,parameter,communications_vocal,feedbacks-negative-active,0
69614.524515,0.062582,parameter,communications_vocal,feedbacks-negative-color,"(241, 100, 100, 255)"
69614.52452,0.062582,parameter,communications_vocal,radios-0-name,NAV_1
69614.524525,0.062582,parameter,communications_vocal,radios-0-currentfreq,112.8
69614.52453,0.062582,parameter,communications_vocal,radios-0-targetfreq,
69614.524534,0.062582,parameter,communications_vocal,radios-0-pos,0
69614.524539,0.062582,parameter,communications_vocal,radios-0-response_time,0
69614.524543,0.062582,parameter,communications_vocal,radios-0-is_active,0
69614.524548,0.062582,parameter,communications_vocal,radios-0-is_prompting,0
69614.524552,0.062582,parameter,communications_vocal,radios-0-_feedbacktimer,
69614.524556,0.062582,parameter,communications_vocal,radios-0-_feedbacktype,
69614.524561,0.062582,parameter,communications_vocal,radios-0-widget,<core.widgets.radio.Radio object at 0x144cb3650>
69614.524567,0.062582,parameter,communications_vocal,radios-1-name,NAV_2
69614.524571,0.062582,parameter,communications_vocal,radios-1-currentfreq,135.8
69614.524576,0.062582,parameter,communications_vocal,radios-1-targetfreq,
69614.52458,0.062582,parameter,communications_vocal,radios-1-pos,1
69614.524585,0.062582,parameter,communications_vocal,radios-1-response_time,0
69614.524589,0.062582,parameter,communications_vocal,radios-1-is_active,1
69614.524594,0.062582,parameter,communications_vocal,radios-1-is_prompting,0
69614.524598,0.062582,parameter,communications_vocal,radios-1-_feedbacktimer,
69614.524602,0.062582,parameter,communications_vocal,radios-1-_feedbacktype,
